time,datetime,step,global_step,loss,examples_sec,sec_batch,duration,cpu,mem,net_usage
1625584719.7910206,2021-07-06 11:18:39.791028,0,0,0.89,3.7,34.776,34.776,0.000,479.781,1342.081
1625584747.2923632,2021-07-06 11:19:07.292370,1,1,0.82,4.7,27.501,27.501,346.300,509.406,1342.081
1625584772.9697826,2021-07-06 11:19:32.969789,2,1,0.82,5.0,25.677,25.677,376.600,537.695,1342.081
1625584798.580283,2021-07-06 11:19:58.580290,3,1,0.82,5.0,25.610,25.610,377.000,542.711,1342.081
1625584824.5353572,2021-07-06 11:20:24.535364,4,1,0.82,4.9,25.955,25.955,366.500,549.188,1342.081
1625584849.68225,2021-07-06 11:20:49.682256,5,1,0.82,5.1,25.147,25.147,384.400,567.512,1342.081
1625584874.9845219,2021-07-06 11:21:14.984528,6,1,0.82,5.1,25.302,25.302,376.200,584.363,1342.081
1625584907.6429672,2021-07-06 11:21:47.642974,7,2,0.77,3.9,32.658,32.658,294.300,600.473,1342.081
1625584944.3969007,2021-07-06 11:22:24.396908,8,3,0.73,3.5,36.754,36.754,266.800,612.215,1342.081
1625584978.460636,2021-07-06 11:22:58.460642,9,4,0.69,3.8,34.063,34.063,282.100,613.590,1342.081
1625585013.7320054,2021-07-06 11:23:33.732013,10,5,0.66,3.6,35.271,35.271,272.100,613.637,1342.081
1625585048.0178385,2021-07-06 11:24:08.017846,11,6,0.64,3.7,34.286,34.286,285.700,613.387,1342.081
1625585083.8280025,2021-07-06 11:24:43.828010,12,7,0.62,3.6,35.810,35.810,276.500,622.621,1342.081
1625585117.4169612,2021-07-06 11:25:17.416968,13,8,0.60,3.8,33.589,33.589,291.400,622.719,1342.081
1625585152.121705,2021-07-06 11:25:52.121709,14,9,0.59,3.7,34.704,34.704,283.300,633.082,1342.081
1625585187.3739214,2021-07-06 11:26:27.373928,15,10,0.58,3.6,35.252,35.252,278.500,634.887,1342.081
1625585222.4747317,2021-07-06 11:27:02.474738,16,11,0.57,3.6,35.101,35.101,276.700,636.527,1342.081
1625585256.8086848,2021-07-06 11:27:36.808692,17,12,0.56,3.7,34.334,34.334,273.200,640.914,1342.081
1625585291.4338953,2021-07-06 11:28:11.433902,18,13,0.55,3.7,34.625,34.625,272.200,644.039,1342.081
1625585327.3423035,2021-07-06 11:28:47.342307,19,14,0.55,3.6,35.908,35.908,266.600,650.164,1342.081
1625585361.3517752,2021-07-06 11:29:21.351782,20,15,0.54,3.8,34.009,34.009,270.500,652.461,1342.081
1625585395.5522842,2021-07-06 11:29:55.552290,21,16,0.54,3.7,34.200,34.200,267.900,653.379,1342.081
1625585428.750594,2021-07-06 11:30:28.750598,22,17,0.54,3.9,33.198,33.198,287.500,653.695,1342.081
1625585464.4022636,2021-07-06 11:31:04.402271,23,18,0.53,3.6,35.651,35.651,273.500,655.227,1342.081
1625585498.1701162,2021-07-06 11:31:38.170123,24,19,0.53,3.8,33.768,33.768,287.800,655.176,1342.081
1625585532.3819697,2021-07-06 11:32:12.381976,25,20,0.53,3.7,34.212,34.212,284.700,652.562,1342.081
1625585566.738136,2021-07-06 11:32:46.738143,26,21,0.53,3.7,34.356,34.356,281.300,652.695,1342.081
1625585600.3775814,2021-07-06 11:33:20.377589,27,22,0.53,3.8,33.639,33.639,284.900,653.066,1342.081
1625585634.3283377,2021-07-06 11:33:54.328345,28,23,0.53,3.8,33.950,33.950,285.300,656.102,1342.081
1625585667.7543824,2021-07-06 11:34:27.754389,29,24,0.53,3.8,33.426,33.426,284.100,654.445,1342.081
1625585702.1651433,2021-07-06 11:35:02.165150,30,25,0.53,3.7,34.410,34.410,273.700,654.426,1342.081
1625585735.62937,2021-07-06 11:35:35.629377,31,26,0.53,3.8,33.464,33.464,275.700,656.027,1342.081
1625585769.6628978,2021-07-06 11:36:09.662901,32,27,0.52,3.8,34.033,34.033,276.200,656.617,1342.081
1625585803.638338,2021-07-06 11:36:43.638345,33,28,0.52,3.8,33.975,33.975,284.700,654.203,1342.081
1625585838.1502244,2021-07-06 11:37:18.150232,34,29,0.52,3.7,34.512,34.512,207.800,651.266,1342.081
1625585871.8208065,2021-07-06 11:37:51.820813,35,30,0.52,3.8,33.670,33.670,229.600,659.719,1342.081
1625585905.581614,2021-07-06 11:38:25.581622,36,31,0.52,3.8,33.761,33.761,281.600,656.164,1342.081
1625585939.9168134,2021-07-06 11:38:59.916820,37,32,0.52,3.7,34.335,34.335,249.600,653.801,1342.081
1625585974.5692956,2021-07-06 11:39:34.569302,38,33,0.52,3.7,34.652,34.652,261.000,658.547,1342.081
1625586009.0004094,2021-07-06 11:40:09.000412,39,34,0.52,3.7,34.431,34.431,258.800,657.406,1342.081
1625586043.6811092,2021-07-06 11:40:43.681113,40,35,0.52,3.7,34.681,34.681,251.600,664.363,1342.107
1625586077.6715436,2021-07-06 11:41:17.671550,41,36,0.52,3.8,33.990,33.990,255.400,658.828,1342.107
1625586111.629034,2021-07-06 11:41:51.629041,42,37,0.52,3.8,33.957,33.957,256.900,659.773,1342.107
1625586146.3902614,2021-07-06 11:42:26.390268,43,38,0.52,3.7,34.761,34.761,251.800,659.117,1342.107
1625586182.82039,2021-07-06 11:43:02.820394,44,39,0.52,3.5,36.430,36.430,238.200,661.203,1342.107
1625586218.0855877,2021-07-06 11:43:38.085594,45,40,0.52,3.6,35.265,35.265,244.900,660.922,1342.107
1625586252.9943852,2021-07-06 11:44:12.994391,46,41,0.52,3.7,34.908,34.908,249.600,659.316,1342.107
1625586288.7078927,2021-07-06 11:44:48.707900,47,42,0.52,3.6,35.713,35.713,243.300,663.043,1342.107
1625586323.7584262,2021-07-06 11:45:23.758432,48,43,0.52,3.7,35.050,35.050,249.900,661.441,1342.107
