time,datetime,step,global_step,loss,accuracy,examples_sec,sec_batch,duration,cpu,mem,net_usage
1627091136.116659,2021-07-23 21:45:36.116668,0,0,0.89,0.047,2.0,62.565,62.565,0.000,592.684,196.235
1627091186.873145,2021-07-23 21:46:26.873154,1,1,0.79,0.078,2.5,50.756,50.756,261.300,655.695,196.235
1627091238.6705103,2021-07-23 21:47:18.670518,2,1,0.79,0.086,2.5,51.797,51.797,287.400,661.395,196.235
1627091288.8098006,2021-07-23 21:48:08.809809,3,1,0.79,0.102,2.6,50.139,50.139,279.500,720.688,196.235
1627091338.1335547,2021-07-23 21:48:58.133563,4,1,0.79,0.086,2.6,49.323,49.323,273.000,722.242,196.235
1627091427.981961,2021-07-23 21:50:27.982015,5,1,0.79,0.109,1.4,89.848,89.848,192.400,743.176,196.235
1627091511.752238,2021-07-23 21:51:51.752247,6,3,0.67,0.141,1.5,83.770,83.770,176.700,746.719,196.235
1627091593.9833722,2021-07-23 21:53:13.983380,7,5,0.60,0.078,1.6,82.231,82.231,176.000,768.660,196.235
1627091677.8260732,2021-07-23 21:54:37.826081,8,7,0.56,0.125,1.5,83.842,83.842,176.300,761.016,196.235
1627091759.8307414,2021-07-23 21:55:59.830750,9,9,0.54,0.141,1.6,82.004,82.004,176.500,762.609,196.235
1627091843.500767,2021-07-23 21:57:23.500775,10,11,0.54,0.148,1.5,83.670,83.670,179.800,775.543,196.235
1627091926.4172866,2021-07-23 21:58:46.417294,11,13,0.53,0.125,1.5,82.916,82.916,174.400,773.355,196.235
1627092009.2809083,2021-07-23 22:00:09.280917,12,15,0.53,0.133,1.5,82.863,82.863,179.600,773.082,196.235
1627092091.5045106,2021-07-23 22:01:31.504519,13,17,0.52,0.133,1.6,82.223,82.223,175.900,779.996,196.235
1627092174.6577046,2021-07-23 22:02:54.657714,14,19,0.52,0.047,1.5,83.153,83.153,173.800,782.223,196.235
1627092260.3247545,2021-07-23 22:04:20.324764,15,21,0.52,0.094,1.5,85.667,85.667,178.700,782.238,196.235
