time,datetime,step,global_step,loss,accuracy,val_accuracy,examples_sec,sec_batch,duration,cpu,mem,net_usage
1626978625.4731205,2021-07-22 14:30:25.473131,0,0,0.90,0.102,0.000,2.0,64.403,64.403,0.000,490.055,63.113
1626978678.0590034,2021-07-22 14:31:18.059011,1,7,0.83,0.078,0.000,2.4,52.586,52.586,351.300,539.211,63.113
1626978729.0071542,2021-07-22 14:32:09.007161,2,17,0.76,0.086,0.000,2.5,50.948,50.948,362.300,563.652,63.113
1626978782.5578892,2021-07-22 14:33:02.557897,3,27,0.72,0.086,0.000,2.4,53.550,53.550,344.000,583.777,63.113
1626978833.8987978,2021-07-22 14:33:53.898805,4,36,0.69,0.062,0.000,2.5,51.341,51.341,358.800,583.566,63.113
1626978886.8452291,2021-07-22 14:34:46.845237,5,46,0.66,0.094,0.000,2.4,52.946,52.946,352.300,589.500,63.113
1626978937.0206182,2021-07-22 14:35:37.020623,6,55,0.63,0.078,0.000,2.6,50.175,50.175,367.900,601.789,63.113
1626978993.784875,2021-07-22 14:36:33.784882,7,65,0.61,0.062,0.000,2.3,56.764,56.764,327.400,611.508,63.113
1626979046.439158,2021-07-22 14:37:26.439166,8,74,0.60,0.133,0.000,2.4,52.654,52.654,346.500,614.836,63.113
1626979100.1928244,2021-07-22 14:38:20.192832,9,83,0.59,0.086,0.000,2.4,53.753,53.753,343.800,628.352,63.113
1626979153.578749,2021-07-22 14:39:13.578756,10,93,0.57,0.164,0.000,2.4,53.386,53.386,346.800,635.531,63.113
1626979206.2349055,2021-07-22 14:40:06.234913,11,102,0.56,0.156,0.000,2.4,52.656,52.656,351.600,633.340,63.113
1626979259.5303483,2021-07-22 14:40:59.530356,12,111,0.56,0.125,0.000,2.4,53.295,53.295,347.100,639.633,63.113
1626979311.938152,2021-07-22 14:41:51.938159,13,120,0.55,0.094,0.000,2.4,52.408,52.408,353.100,644.633,63.113
1626979363.899601,2021-07-22 14:42:43.899608,14,130,0.55,0.078,0.000,2.5,51.961,51.961,354.900,642.457,63.113
1626979415.871407,2021-07-22 14:43:35.871414,15,140,0.54,0.086,0.000,2.5,51.971,51.971,355.200,646.324,63.113
1626979470.9778643,2021-07-22 14:44:30.977872,16,149,0.54,0.070,0.000,2.3,55.106,55.106,336.600,655.449,63.113
1626979523.1571038,2021-07-22 14:45:23.157111,17,159,0.54,0.086,0.000,2.5,52.179,52.179,353.900,654.227,63.113
1626979573.1591053,2021-07-22 14:46:13.159113,18,168,0.53,0.070,0.000,2.6,50.002,50.002,369.400,658.426,63.113
1626979627.4984775,2021-07-22 14:47:07.498485,19,178,0.53,0.094,0.000,2.4,54.339,54.339,338.700,657.270,63.113
1626979680.27499,2021-07-22 14:48:00.274998,20,187,0.53,0.094,0.000,2.4,52.776,52.776,349.300,654.887,63.113
1626979732.90909,2021-07-22 14:48:52.909097,21,196,0.53,0.141,0.000,2.4,52.634,52.634,350.100,661.055,63.113
1626979785.646605,2021-07-22 14:49:45.646613,22,206,0.53,0.133,0.000,2.4,52.737,52.737,348.800,659.422,63.113
1626979840.4511237,2021-07-22 14:50:40.451131,23,216,0.53,0.102,0.000,2.3,54.804,54.804,336.900,662.207,63.113
1626979893.019227,2021-07-22 14:51:33.019234,24,225,0.53,0.125,0.000,2.4,52.568,52.568,352.300,659.918,63.113
1626979944.3106256,2021-07-22 14:52:24.310634,25,234,0.53,0.117,0.000,2.5,51.291,51.291,358.100,662.738,63.113
1626979996.011262,2021-07-22 14:53:16.011269,26,244,0.52,0.133,0.000,2.5,51.700,51.700,360.000,662.730,63.113
1626980049.3744733,2021-07-22 14:54:09.374480,27,254,0.52,0.109,0.000,2.4,53.363,53.363,346.800,661.363,63.113
1626980102.882341,2021-07-22 14:55:02.882349,28,263,0.52,0.086,0.000,2.4,53.508,53.508,348.400,668.504,63.113
1626980159.7236946,2021-07-22 14:55:59.723702,29,272,0.52,0.102,0.000,2.3,56.841,56.841,326.700,666.379,63.113
1626980214.9371235,2021-07-22 14:56:54.937131,30,282,0.52,0.117,0.000,2.3,55.213,55.213,335.800,663.410,63.113
1626980267.9386923,2021-07-22 14:57:47.938699,31,293,0.52,0.078,0.000,2.4,53.001,53.001,349.400,664.672,63.113
1626980327.734834,2021-07-22 14:58:47.734841,32,303,0.52,0.156,0.000,2.1,59.796,59.796,311.000,667.184,63.113
1626980388.2168097,2021-07-22 14:59:48.216817,33,312,0.52,0.148,0.000,2.1,60.482,60.482,306.800,668.621,63.113
1626980440.8477736,2021-07-22 15:00:40.847781,34,322,0.52,0.086,0.000,2.4,52.631,52.631,351.000,667.496,63.113
1626980492.9435809,2021-07-22 15:01:32.943588,35,331,0.52,0.078,0.000,2.5,52.096,52.096,354.800,663.199,63.113
1626980546.5509489,2021-07-22 15:02:26.550956,36,341,0.52,0.117,0.000,2.4,53.607,53.607,345.800,662.180,63.113
1626980596.9514751,2021-07-22 15:03:16.951483,37,350,0.52,0.102,0.000,2.5,50.400,50.400,366.200,667.199,63.113
1626980650.5604014,2021-07-22 15:04:10.560409,38,360,0.52,0.094,0.000,2.4,53.609,53.609,343.300,668.141,63.113
1626980703.2736862,2021-07-22 15:05:03.273694,39,369,0.52,0.109,0.000,2.4,52.713,52.713,351.500,669.258,63.113
