time,datetime,step,global_step,loss,accuracy,val_accuracy,examples_sec,sec_batch,duration,cpu,mem,net_usage
1627190628.4634569,2021-07-25 01:23:48.463463,0,0,2.82,0.088,0.125,7.1,17.938,17.938,0.000,1504.773,196.565
1627190633.621315,2021-07-25 01:23:53.621319,1,1,2.85,0.092,0.156,24.8,5.158,5.158,950.200,1571.211,196.565
1627190638.6748514,2021-07-25 01:23:58.674857,2,1,2.86,0.087,0.062,25.3,5.053,5.053,949.400,1586.281,196.565
1627190643.7476008,2021-07-25 01:24:03.747605,3,1,2.73,0.094,0.125,25.2,5.073,5.073,975.400,1625.469,196.565
1627190648.8440647,2021-07-25 01:24:08.844069,4,1,2.81,0.097,0.188,25.1,5.096,5.096,974.600,1647.176,196.565
1627190658.1143146,2021-07-25 01:24:18.114318,5,2,2.79,0.095,0.031,13.8,9.270,9.270,523.900,1683.695,196.565
1627190667.4261448,2021-07-25 01:24:27.426149,6,4,2.73,0.093,0.094,13.7,9.312,9.312,551.300,1718.727,196.565
1627190674.8285363,2021-07-25 01:24:34.828541,7,6,2.76,0.099,0.062,17.3,7.402,7.402,645.700,1717.066,196.565
1627190681.8590822,2021-07-25 01:24:41.859086,8,8,2.68,0.106,0.188,18.2,7.030,7.030,708.600,1722.520,196.565
1627190689.0624924,2021-07-25 01:24:49.062496,9,10,2.63,0.115,0.094,17.8,7.203,7.203,693.600,1730.336,196.565
1627190697.8480139,2021-07-25 01:24:57.848018,10,12,2.55,0.132,0.062,14.6,8.785,8.785,584.600,1730.293,196.565
1627190706.8844347,2021-07-25 01:25:06.884439,11,14,2.58,0.139,0.000,14.2,9.036,9.036,539.200,1730.973,196.565
1627190715.6715064,2021-07-25 01:25:15.671510,12,16,2.47,0.146,0.188,14.6,8.787,8.787,567.200,1731.824,196.565
1627190724.694596,2021-07-25 01:25:24.694601,13,18,2.43,0.158,0.156,14.2,9.023,9.023,541.700,1725.500,196.565
1627190732.7497826,2021-07-25 01:25:32.749786,14,20,2.41,0.164,0.094,15.9,8.055,8.055,627.000,1725.715,196.565
1627190739.7520006,2021-07-25 01:25:39.752005,15,22,2.47,0.171,0.062,18.3,7.002,7.002,694.500,1729.199,196.565
1627190746.8897557,2021-07-25 01:25:46.889759,16,24,2.38,0.181,0.156,17.9,7.138,7.138,699.200,1730.117,196.565
1627190754.4121034,2021-07-25 01:25:54.412107,17,26,2.34,0.185,0.125,17.0,7.522,7.522,659.500,1740.582,196.565
1627190762.741008,2021-07-25 01:26:02.741012,18,28,2.36,0.190,0.125,15.4,8.329,8.329,568.300,1736.883,196.565
1627190771.5046859,2021-07-25 01:26:11.504690,19,30,2.43,0.198,0.094,14.6,8.764,8.764,583.800,1743.844,196.565
1627190778.4744935,2021-07-25 01:26:18.474497,20,32,2.33,0.203,0.031,18.4,6.970,6.970,711.400,1760.734,196.565
1627190785.2948143,2021-07-25 01:26:25.294818,21,34,2.30,0.206,0.094,18.8,6.820,6.820,724.600,1755.832,196.565
1627190792.6563084,2021-07-25 01:26:32.656312,22,36,2.27,0.213,0.094,17.4,7.361,7.361,647.300,1766.527,196.565
1627190800.2848325,2021-07-25 01:26:40.284837,23,38,2.26,0.219,0.031,16.8,7.628,7.628,651.000,1767.438,196.565
1627190807.514436,2021-07-25 01:26:47.514441,24,40,2.30,0.225,0.031,17.7,7.229,7.229,719.500,1768.391,196.565
1627190815.8681302,2021-07-25 01:26:55.868137,25,42,2.34,0.228,0.031,15.3,8.353,8.353,592.400,1778.949,196.565
1627190824.0952978,2021-07-25 01:27:04.095302,26,44,2.25,0.233,0.062,15.6,8.227,8.227,588.000,1777.168,196.565
1627190832.4622617,2021-07-25 01:27:12.462266,27,46,2.28,0.239,0.125,15.3,8.367,8.367,608.600,1777.043,196.565
1627190839.7333083,2021-07-25 01:27:19.733312,28,48,2.19,0.241,0.094,17.6,7.271,7.271,687.500,1779.781,196.565
1627190846.931144,2021-07-25 01:27:26.931148,29,50,2.26,0.244,0.062,17.8,7.198,7.198,689.000,1780.629,196.565
1627190854.426844,2021-07-25 01:27:34.426848,30,52,2.19,0.249,0.094,17.1,7.496,7.496,647.800,1783.984,196.565
1627190861.8325064,2021-07-25 01:27:41.832510,31,54,2.15,0.253,0.031,17.3,7.405,7.405,662.500,1782.711,196.565
1627190868.9970634,2021-07-25 01:27:48.997067,32,56,2.26,0.257,0.062,17.9,7.164,7.164,710.000,1781.078,196.565
