time,datetime,step,global_step,loss,examples_sec,sec_batch,duration,cpu,mem,net_usage
1625245121.342259,2021-07-02 12:58:41.342263,0,0,2.82,55.7,2.298,2.298,0.000,823.832,188.860
1625245123.0836997,2021-07-02 12:58:43.083703,1,0,2.85,73.5,1.741,1.741,1172.000,1087.773,188.860
1625245124.792508,2021-07-02 12:58:44.792512,2,1,2.62,74.9,1.709,1.709,1115.400,1179.348,188.860
1625245126.4603693,2021-07-02 12:58:46.460373,3,1,2.65,76.8,1.668,1.668,1027.700,1204.148,188.860
1625245128.106696,2021-07-02 12:58:48.106699,4,1,2.70,77.8,1.646,1.646,1030.200,1226.199,188.860
1625245129.782955,2021-07-02 12:58:49.782959,5,1,2.77,76.4,1.676,1.676,1017.700,1250.766,188.860
1625245131.4605753,2021-07-02 12:58:51.460579,6,1,2.72,76.3,1.677,1.677,1019.900,1264.656,188.860
1625245134.6887918,2021-07-02 12:58:54.688796,7,1,2.65,39.7,3.228,3.228,539.900,1292.461,188.860
1625245136.7302291,2021-07-02 12:58:56.730232,8,2,2.64,62.7,2.041,2.041,847.400,1311.082,188.860
1625245138.8104467,2021-07-02 12:58:58.810451,9,3,2.56,61.5,2.080,2.080,830.700,1326.734,188.860
1625245140.87007,2021-07-02 12:59:00.870073,10,4,2.63,62.2,2.059,2.059,838.000,1346.730,188.860
1625245142.99107,2021-07-02 12:59:02.991073,11,5,2.59,60.4,2.121,2.121,825.100,1379.086,188.860
1625245145.1254818,2021-07-02 12:59:05.125485,12,6,2.54,60.0,2.134,2.134,810.100,1362.676,188.860
1625245147.2738945,2021-07-02 12:59:07.273898,13,7,2.55,59.6,2.148,2.148,806.600,1368.738,188.860
1625245149.340874,2021-07-02 12:59:09.340878,14,8,2.53,61.9,2.067,2.067,833.100,1374.000,188.860
1625245151.4938872,2021-07-02 12:59:11.493891,15,9,2.44,59.5,2.153,2.153,801.200,1375.730,188.860
1625245153.5731497,2021-07-02 12:59:13.573154,16,10,2.43,61.6,2.079,2.079,819.000,1371.762,188.860
1625245155.6740036,2021-07-02 12:59:15.674008,17,11,2.39,60.9,2.101,2.101,820.600,1363.117,188.860
1625245157.8002768,2021-07-02 12:59:17.800281,18,12,2.40,60.2,2.126,2.126,805.600,1359.738,188.860
1625245159.8787532,2021-07-02 12:59:19.878757,19,13,2.37,61.6,2.078,2.078,826.100,1369.008,188.860
1625245162.0052495,2021-07-02 12:59:22.005253,20,14,2.36,60.2,2.126,2.126,806.500,1364.852,188.860
1625245164.0776045,2021-07-02 12:59:24.077609,21,15,2.38,61.8,2.072,2.072,830.900,1371.836,188.860
1625245166.1977754,2021-07-02 12:59:26.197779,22,16,2.40,60.4,2.120,2.120,817.400,1391.555,188.860
1625245168.3130767,2021-07-02 12:59:28.313081,23,17,2.36,60.5,2.115,2.115,811.200,1405.617,188.860
1625245170.3858988,2021-07-02 12:59:30.385902,24,18,2.28,61.8,2.073,2.073,827.900,1398.117,188.860
1625245172.4891262,2021-07-02 12:59:32.489130,25,19,2.42,60.9,2.103,2.103,827.300,1400.336,188.860
1625245174.5724435,2021-07-02 12:59:34.572447,26,20,2.27,61.4,2.083,2.083,825.600,1387.926,188.860
1625245176.6655064,2021-07-02 12:59:36.665509,27,21,2.30,61.2,2.093,2.093,821.300,1390.008,188.860
1625245178.7658541,2021-07-02 12:59:38.765858,28,22,2.37,60.9,2.100,2.100,826.100,1393.648,188.860
1625245180.8653576,2021-07-02 12:59:40.865361,29,23,2.33,61.0,2.099,2.099,819.200,1382.082,188.860
1625245182.9872024,2021-07-02 12:59:42.987206,30,24,2.34,60.3,2.122,2.122,805.400,1390.227,188.860
1625245185.0937946,2021-07-02 12:59:45.093798,31,25,2.26,60.8,2.106,2.106,817.000,1392.832,188.860
1625245187.179362,2021-07-02 12:59:47.179366,32,26,2.25,61.4,2.085,2.085,825.700,1384.652,188.860
1625245189.3230438,2021-07-02 12:59:49.323048,33,27,2.23,59.7,2.143,2.143,805.100,1393.363,188.860
1625245191.4191816,2021-07-02 12:59:51.419186,34,28,2.38,61.1,2.096,2.096,821.000,1389.066,188.860
1625245193.5493882,2021-07-02 12:59:53.549392,35,29,2.27,60.1,2.130,2.130,795.200,1398.031,188.860
1625245195.6393478,2021-07-02 12:59:55.639351,36,30,2.24,61.3,2.090,2.090,831.100,1388.590,188.860
1625245197.7696037,2021-07-02 12:59:57.769608,37,31,2.23,60.1,2.130,2.130,818.200,1395.711,188.860
1625245199.8438525,2021-07-02 12:59:59.843856,38,32,2.27,61.7,2.074,2.074,833.100,1398.031,188.860
1625245201.960561,2021-07-02 13:00:01.960564,39,33,2.27,60.5,2.117,2.117,809.700,1384.078,188.860
1625245204.0615218,2021-07-02 13:00:04.061526,40,34,2.16,60.9,2.101,2.101,805.300,1389.578,188.860
1625245206.140124,2021-07-02 13:00:06.140128,41,35,2.18,61.6,2.078,2.078,814.500,1390.281,188.860
1625245208.2212477,2021-07-02 13:00:08.221251,42,36,2.19,61.5,2.081,2.081,815.400,1391.586,188.860
1625245210.3415048,2021-07-02 13:00:10.341509,43,37,2.20,60.4,2.120,2.120,805.600,1392.043,188.860
1625245212.3997245,2021-07-02 13:00:12.399728,44,38,2.26,62.2,2.058,2.058,843.000,1390.297,188.860
1625245214.5266693,2021-07-02 13:00:14.526673,45,39,2.20,60.2,2.127,2.127,814.300,1384.520,188.860
1625245216.6320033,2021-07-02 13:00:16.632008,46,40,2.20,60.8,2.105,2.105,818.400,1392.594,188.860
1625245218.7436059,2021-07-02 13:00:18.743610,47,41,2.29,60.6,2.111,2.111,821.200,1392.531,188.860
1625245220.8654983,2021-07-02 13:00:20.865502,48,42,2.18,60.3,2.122,2.122,812.500,1406.422,188.860
1625245222.9805539,2021-07-02 13:00:22.980557,49,43,2.17,60.5,2.115,2.115,818.900,1396.586,188.860
1625245225.1198492,2021-07-02 13:00:25.119853,50,44,2.18,59.8,2.139,2.139,806.800,1399.660,188.860
1625245227.288453,2021-07-02 13:00:27.288458,51,45,2.15,59.0,2.168,2.168,787.600,1400.660,188.860
1625245229.4199781,2021-07-02 13:00:29.419982,52,46,2.15,60.1,2.131,2.131,810.200,1400.219,188.860
1625245231.5366623,2021-07-02 13:00:31.536666,53,47,2.15,60.5,2.117,2.117,821.100,1401.605,188.860
1625245233.6598766,2021-07-02 13:00:33.659880,54,48,2.15,60.3,2.123,2.123,811.500,1388.422,188.860
1625245235.7553074,2021-07-02 13:00:35.755312,55,49,2.19,61.1,2.095,2.095,823.200,1400.172,188.860
1625245237.88999,2021-07-02 13:00:37.889994,56,50,2.21,60.0,2.135,2.135,802.000,1402.137,188.860
1625245239.9809723,2021-07-02 13:00:39.980976,57,51,2.22,61.2,2.091,2.091,822.600,1394.938,188.860
1625245242.0719159,2021-07-02 13:00:42.071919,58,52,2.23,61.2,2.091,2.091,817.800,1392.137,188.860
1625245244.19683,2021-07-02 13:00:44.196834,59,53,2.16,60.2,2.125,2.125,804.300,1395.594,188.860
1625245246.3138487,2021-07-02 13:00:46.313852,60,54,2.10,60.5,2.117,2.117,813.400,1398.898,188.860
1625245248.4174762,2021-07-02 13:00:48.417480,61,55,2.08,60.9,2.103,2.103,817.200,1387.211,188.860
1625245250.4788907,2021-07-02 13:00:50.478895,62,56,2.26,62.1,2.061,2.061,832.400,1397.961,188.860
1625245252.6120737,2021-07-02 13:00:52.612078,63,57,2.22,60.0,2.133,2.133,808.200,1401.992,188.860
1625245254.7075467,2021-07-02 13:00:54.707551,64,58,2.11,61.1,2.095,2.095,818.900,1403.465,188.860
1625245256.7789416,2021-07-02 13:00:56.778946,65,59,2.07,61.8,2.071,2.071,831.800,1387.375,188.860
1625245258.8765697,2021-07-02 13:00:58.876574,66,60,2.13,61.0,2.097,2.097,817.600,1396.152,188.860
1625245261.0277271,2021-07-02 13:01:01.027731,67,61,2.11,59.5,2.151,2.151,788.900,1399.824,188.860
1625245263.1157172,2021-07-02 13:01:03.115721,68,62,2.12,61.3,2.088,2.088,810.800,1392.957,188.860
1625245265.2150674,2021-07-02 13:01:05.215072,69,63,2.07,61.0,2.099,2.099,820.300,1399.695,188.860
1625245267.3156376,2021-07-02 13:01:07.315641,70,64,2.10,60.9,2.100,2.100,834.500,1400.508,188.860
1625245269.3723788,2021-07-02 13:01:09.372382,71,65,2.12,62.2,2.057,2.057,842.100,1397.312,188.860
1625245271.4855847,2021-07-02 13:01:11.485588,72,66,2.15,60.6,2.113,2.113,817.700,1398.816,188.860
1625245273.600153,2021-07-02 13:01:13.600157,73,67,2.11,60.5,2.114,2.114,803.900,1398.297,188.860
1625245275.7188346,2021-07-02 13:01:15.718839,74,68,2.18,60.4,2.119,2.119,816.600,1399.055,188.860
1625245277.845373,2021-07-02 13:01:17.845376,75,69,2.16,60.2,2.126,2.126,808.300,1400.723,188.860
1625245279.9540074,2021-07-02 13:01:19.954011,76,70,2.20,60.7,2.108,2.108,809.100,1407.285,188.860
1625245282.043915,2021-07-02 13:01:22.043919,77,71,2.13,61.3,2.090,2.090,824.400,1398.926,188.860
1625245284.1857398,2021-07-02 13:01:24.185743,78,72,2.12,59.8,2.142,2.142,814.700,1407.590,188.860
1625245286.2811224,2021-07-02 13:01:26.281126,79,73,2.04,61.1,2.095,2.095,825.600,1397.527,188.860
1625245288.3970966,2021-07-02 13:01:28.397101,80,74,2.08,60.5,2.116,2.116,806.700,1392.371,188.860
1625245290.491344,2021-07-02 13:01:30.491347,81,75,2.02,61.1,2.094,2.094,825.100,1410.559,188.860
1625245292.649696,2021-07-02 13:01:32.649700,82,76,2.07,59.3,2.158,2.158,792.300,1405.031,188.860
1625245294.7870755,2021-07-02 13:01:34.787080,83,77,2.09,59.9,2.137,2.137,812.200,1395.133,188.860
1625245296.8872788,2021-07-02 13:01:36.887283,84,78,2.06,61.0,2.100,2.100,827.000,1400.582,188.860
1625245298.9732642,2021-07-02 13:01:38.973269,85,79,2.04,61.4,2.086,2.086,831.300,1395.461,188.860
1625245301.0685406,2021-07-02 13:01:41.068544,86,80,2.15,61.1,2.095,2.095,827.100,1399.848,188.860
