time,datetime,step,global_step,loss,accuracy,examples_sec,sec_batch,duration,cpu,mem,net_usage
1625773180.2719476,2021-07-08 15:39:40.271952,0,0,2.68,0.102,40.8,3.136,3.136,0.000,982.371,63.324
1625773182.8453195,2021-07-08 15:39:42.845323,1,0,2.72,0.089,49.7,2.573,2.573,964.500,1076.418,63.324
1625773185.3667908,2021-07-08 15:39:45.366794,2,1,2.69,0.089,50.8,2.521,2.521,978.000,1090.844,63.324
1625773187.9232306,2021-07-08 15:39:47.923236,3,1,2.62,0.089,50.1,2.556,2.556,972.100,1157.047,63.324
1625773190.4965427,2021-07-08 15:39:50.496547,4,1,2.72,0.087,49.7,2.573,2.573,974.600,1184.332,63.324
1625773193.047644,2021-07-08 15:39:53.047649,5,1,2.60,0.089,50.2,2.551,2.551,971.000,1246.793,63.324
1625773196.9711463,2021-07-08 15:39:56.971150,6,1,2.69,0.090,32.6,3.923,3.923,611.700,1249.934,63.324
1625773199.998033,2021-07-08 15:39:59.998040,7,2,2.65,0.093,42.3,3.027,3.027,826.000,1268.090,63.324
1625773202.7109575,2021-07-08 15:40:02.710961,8,3,2.60,0.094,47.2,2.713,2.713,934.700,1269.559,63.324
1625773205.426371,2021-07-08 15:40:05.426375,9,4,2.60,0.095,47.1,2.715,2.715,904.500,1277.613,63.324
1625773208.1647623,2021-07-08 15:40:08.164767,10,5,2.58,0.099,46.7,2.738,2.738,883.700,1309.504,63.324
1625773210.9191554,2021-07-08 15:40:10.919159,11,6,2.50,0.101,46.5,2.754,2.754,910.500,1309.414,63.324
1625773213.7460363,2021-07-08 15:40:13.746040,12,7,2.54,0.106,45.3,2.827,2.827,909.100,1317.371,63.324
1625773216.4860542,2021-07-08 15:40:16.486058,13,8,2.50,0.109,46.7,2.740,2.740,915.000,1316.387,63.324
1625773219.2091968,2021-07-08 15:40:19.209201,14,9,2.53,0.111,47.0,2.723,2.723,919.500,1317.848,63.324
1625773222.0108647,2021-07-08 15:40:22.010868,15,10,2.49,0.115,45.7,2.802,2.802,891.600,1336.637,63.324
1625773224.7167163,2021-07-08 15:40:24.716719,16,11,2.40,0.119,47.3,2.706,2.706,926.100,1337.395,63.324
1625773227.6452405,2021-07-08 15:40:27.645244,17,12,2.46,0.124,43.7,2.928,2.928,867.000,1339.387,63.324
1625773230.3580472,2021-07-08 15:40:30.358051,18,13,2.45,0.127,47.2,2.713,2.713,933.000,1341.059,63.324
1625773233.1663117,2021-07-08 15:40:33.166316,19,14,2.37,0.130,45.6,2.808,2.808,904.500,1340.348,63.324
1625773235.9180565,2021-07-08 15:40:35.918060,20,15,2.41,0.134,46.5,2.752,2.752,913.200,1338.953,63.324
1625773238.5149205,2021-07-08 15:40:38.514925,21,16,2.42,0.136,49.3,2.597,2.597,941.900,1344.262,63.324
1625773241.5224533,2021-07-08 15:40:41.522458,22,17,2.39,0.140,42.6,3.007,3.007,847.900,1342.410,63.324
1625773244.324544,2021-07-08 15:40:44.324548,23,18,2.32,0.143,45.7,2.802,2.802,888.600,1339.262,63.324
1625773247.0953424,2021-07-08 15:40:47.095347,24,19,2.32,0.146,46.2,2.771,2.771,913.400,1339.191,63.324
1625773249.80687,2021-07-08 15:40:49.806874,25,20,2.34,0.148,47.2,2.711,2.711,934.500,1339.910,63.324
1625773252.4925745,2021-07-08 15:40:52.492582,26,21,2.38,0.150,47.7,2.686,2.686,945.400,1339.355,63.324
1625773255.3066862,2021-07-08 15:40:55.306690,27,22,2.29,0.154,45.5,2.814,2.814,897.900,1338.559,63.324
1625773258.1385152,2021-07-08 15:40:58.138518,28,23,2.30,0.156,45.2,2.832,2.832,889.500,1341.066,63.324
1625773260.955998,2021-07-08 15:41:00.956002,29,24,2.23,0.158,45.4,2.817,2.817,899.400,1340.730,63.324
1625773263.783004,2021-07-08 15:41:03.783008,30,25,2.31,0.161,45.3,2.827,2.827,872.700,1343.496,63.324
1625773266.5633373,2021-07-08 15:41:06.563341,31,26,2.26,0.162,46.0,2.780,2.780,907.400,1338.879,63.324
1625773269.5268226,2021-07-08 15:41:09.526826,32,27,2.27,0.166,43.2,2.963,2.963,842.900,1343.648,63.324
1625773272.2706354,2021-07-08 15:41:12.270639,33,28,2.27,0.169,46.7,2.744,2.744,919.900,1338.141,63.324
1625773275.038896,2021-07-08 15:41:15.038903,34,29,2.27,0.171,46.2,2.768,2.768,919.800,1337.238,63.324
1625773277.853024,2021-07-08 15:41:17.853029,35,30,2.28,0.173,45.5,2.814,2.814,908.300,1348.230,63.324
1625773280.5541108,2021-07-08 15:41:20.554114,36,31,2.23,0.176,47.4,2.701,2.701,943.700,1347.953,63.324
1625773283.322824,2021-07-08 15:41:23.322830,37,32,2.24,0.178,46.2,2.769,2.769,897.200,1350.246,63.324
1625773286.072453,2021-07-08 15:41:26.072457,38,33,2.27,0.181,46.6,2.749,2.749,912.500,1345.152,63.324
1625773288.8752124,2021-07-08 15:41:28.875216,39,34,2.23,0.182,45.7,2.803,2.803,901.600,1344.371,63.324
1625773291.6565952,2021-07-08 15:41:31.656607,40,35,2.18,0.184,46.0,2.781,2.781,900.700,1347.258,63.324
1625773294.46705,2021-07-08 15:41:34.467053,41,36,2.21,0.186,45.5,2.810,2.810,916.200,1345.957,63.324
1625773297.1807454,2021-07-08 15:41:37.180749,42,37,2.27,0.188,47.2,2.714,2.714,932.300,1347.070,63.324
1625773299.937615,2021-07-08 15:41:39.937619,43,38,2.23,0.190,46.4,2.757,2.757,917.300,1345.777,63.324
1625773302.6515703,2021-07-08 15:41:42.651575,44,39,2.16,0.191,47.2,2.714,2.714,937.400,1346.535,63.324
1625773305.4859347,2021-07-08 15:41:45.485939,45,40,2.19,0.193,45.2,2.834,2.834,888.400,1347.223,63.324
1625773308.1935139,2021-07-08 15:41:48.193520,46,41,2.23,0.195,47.3,2.707,2.707,930.000,1348.766,63.324
1625773310.9718626,2021-07-08 15:41:50.971867,47,42,2.23,0.198,46.1,2.778,2.778,906.300,1349.359,63.324
1625773313.6803124,2021-07-08 15:41:53.680316,48,43,2.25,0.199,47.3,2.708,2.708,939.300,1348.828,63.324
1625773316.535722,2021-07-08 15:41:56.535726,49,44,2.18,0.202,44.8,2.855,2.855,883.200,1351.578,63.324
1625773319.2842371,2021-07-08 15:41:59.284241,50,45,2.27,0.203,46.6,2.748,2.748,910.300,1345.684,63.324
1625773322.1861317,2021-07-08 15:42:02.186138,51,46,2.08,0.205,44.1,2.902,2.902,872.200,1347.430,63.324
1625773324.9641984,2021-07-08 15:42:04.964202,52,47,2.20,0.206,46.1,2.778,2.778,917.500,1345.418,63.324
1625773327.670561,2021-07-08 15:42:07.670565,53,48,2.22,0.208,47.3,2.706,2.706,926.700,1347.801,63.324
1625773330.4974678,2021-07-08 15:42:10.497472,54,49,2.22,0.209,45.3,2.827,2.827,903.800,1343.777,63.324
1625773333.2888305,2021-07-08 15:42:13.288834,55,50,2.07,0.211,45.9,2.791,2.791,888.100,1345.199,63.324
1625773336.0864275,2021-07-08 15:42:16.086432,56,51,2.15,0.212,45.8,2.797,2.797,899.300,1346.926,63.324
1625773338.9112618,2021-07-08 15:42:18.911265,57,52,2.10,0.213,45.3,2.825,2.825,889.600,1346.344,63.324
1625773341.6347392,2021-07-08 15:42:21.634743,58,53,2.19,0.215,47.0,2.723,2.723,932.300,1344.973,63.324
1625773344.4855256,2021-07-08 15:42:24.485529,59,54,2.11,0.216,44.9,2.851,2.851,878.400,1342.547,63.324
1625773347.3208213,2021-07-08 15:42:27.320828,60,55,2.06,0.219,45.1,2.835,2.835,901.900,1343.328,63.324
1625773350.1008742,2021-07-08 15:42:30.100878,61,56,2.11,0.221,46.0,2.780,2.780,918.600,1344.609,63.324
1625773352.8932755,2021-07-08 15:42:32.893279,62,57,2.03,0.222,45.8,2.792,2.792,913.900,1347.785,63.324
