time,datetime,step,global_step,loss,accuracy,val_accuracy,examples_sec,sec_batch,duration,cpu,mem,net_usage
1626932060.9497204,2021-07-22 01:34:20.949725,0,0,2.59,0.109,0.000,33.4,3.838,3.838,0.000,918.109,193.539
1626932063.9115622,2021-07-22 01:34:23.911567,1,3,2.59,0.156,0.000,43.2,2.962,2.962,1006.800,1014.008,193.539
1626932066.9313776,2021-07-22 01:34:26.931381,2,7,2.62,0.102,0.000,42.4,3.020,3.020,994.400,1079.168,193.539
1626932069.9406304,2021-07-22 01:34:29.940634,3,12,2.58,0.109,0.000,42.5,3.009,3.009,1006.600,1162.539,193.539
1626932072.8429277,2021-07-22 01:34:32.842931,4,17,2.53,0.117,0.000,44.1,2.902,2.902,996.500,1190.305,193.539
1626932075.717562,2021-07-22 01:34:35.717565,5,22,2.52,0.203,0.000,44.5,2.874,2.874,1007.800,1237.633,193.539
1626932078.7852702,2021-07-22 01:34:38.785274,6,27,2.52,0.133,0.000,41.7,3.068,3.068,998.800,1260.488,193.539
1626932081.8170447,2021-07-22 01:34:41.817048,7,32,2.55,0.148,0.000,42.2,3.032,3.032,994.800,1266.512,193.539
1626932084.8429203,2021-07-22 01:34:44.842924,8,37,2.52,0.219,0.000,42.3,3.026,3.026,998.400,1272.355,193.539
1626932087.8806782,2021-07-22 01:34:47.880682,9,42,2.45,0.156,0.000,42.1,3.038,3.038,991.200,1285.867,193.539
1626932090.9061193,2021-07-22 01:34:50.906123,10,45,2.43,0.148,0.000,42.3,3.025,3.025,1003.200,1289.898,193.539
1626932093.986467,2021-07-22 01:34:53.986470,11,50,2.38,0.219,0.000,41.6,3.080,3.080,996.600,1291.117,193.539
1626932097.0035286,2021-07-22 01:34:57.003532,12,54,2.46,0.211,0.000,42.4,3.017,3.017,998.700,1320.789,193.539
1626932100.0633764,2021-07-22 01:35:00.063380,13,59,2.40,0.250,0.000,41.8,3.060,3.060,1005.000,1318.238,193.539
1626932103.1604564,2021-07-22 01:35:03.160460,14,64,2.36,0.188,0.000,41.3,3.097,3.097,995.500,1309.887,193.539
1626932106.1968696,2021-07-22 01:35:06.196873,15,69,2.40,0.242,0.000,42.2,3.036,3.036,999.500,1315.266,193.539
1626932109.2422426,2021-07-22 01:35:09.242246,16,74,2.34,0.250,0.000,42.0,3.045,3.045,992.300,1323.414,193.539
1626932112.4178338,2021-07-22 01:35:12.417838,17,79,2.32,0.266,0.000,40.3,3.175,3.175,987.200,1327.012,193.539
1626932115.4774735,2021-07-22 01:35:15.477477,18,84,2.32,0.203,0.000,41.8,3.059,3.059,996.900,1328.066,193.539
1626932118.5916362,2021-07-22 01:35:18.591640,19,89,2.30,0.203,0.000,41.1,3.114,3.114,992.600,1324.613,193.539
1626932121.6549406,2021-07-22 01:35:21.654944,20,94,2.32,0.234,0.000,41.8,3.063,3.063,990.100,1341.977,193.539
1626932124.717337,2021-07-22 01:35:24.717340,21,99,2.28,0.219,0.000,41.8,3.062,3.062,994.000,1341.285,193.539
1626932127.7345374,2021-07-22 01:35:27.734542,22,105,2.32,0.242,0.000,42.4,3.017,3.017,998.300,1341.613,193.539
1626932130.8360927,2021-07-22 01:35:30.836096,23,109,2.31,0.266,0.000,41.3,3.101,3.101,995.900,1341.176,193.539
1626932133.885921,2021-07-22 01:35:33.885925,24,115,2.31,0.219,0.000,42.0,3.050,3.050,988.300,1344.543,193.539
1626932136.9750357,2021-07-22 01:35:36.975039,25,120,2.25,0.258,0.000,41.4,3.089,3.089,996.100,1348.871,193.539
1626932140.0153847,2021-07-22 01:35:40.015388,26,125,2.31,0.211,0.000,42.1,3.040,3.040,994.600,1349.879,193.539
1626932143.0792873,2021-07-22 01:35:43.079291,27,130,2.17,0.305,0.000,41.8,3.064,3.064,997.100,1350.734,193.539
1626932146.13598,2021-07-22 01:35:46.135983,28,135,2.33,0.250,0.000,41.9,3.057,3.057,950.000,1351.836,193.539
1626932149.1431925,2021-07-22 01:35:49.143196,29,140,2.25,0.344,0.000,42.6,3.007,3.007,963.400,1352.258,193.539
1626932152.1748052,2021-07-22 01:35:52.174809,30,145,2.25,0.250,0.000,42.2,3.031,3.031,970.400,1348.824,193.539
1626932155.2530434,2021-07-22 01:35:55.253047,31,149,2.34,0.242,0.000,41.6,3.078,3.078,998.000,1347.379,193.539
1626932158.256579,2021-07-22 01:35:58.256583,32,154,2.26,0.281,0.000,42.6,3.003,3.003,1000.500,1348.199,193.539
1626932161.3452404,2021-07-22 01:36:01.345244,33,159,2.20,0.273,0.000,41.4,3.088,3.088,981.300,1352.320,193.539
1626932164.4137533,2021-07-22 01:36:04.413757,34,164,2.20,0.258,0.000,41.7,3.068,3.068,993.300,1349.238,193.539
1626932167.456886,2021-07-22 01:36:07.456890,35,169,2.20,0.328,0.000,42.1,3.043,3.043,994.700,1349.266,193.539
1626932170.5691407,2021-07-22 01:36:10.569145,36,174,2.27,0.266,0.000,41.1,3.112,3.112,991.900,1351.707,193.539
1626932173.6406238,2021-07-22 01:36:13.640627,37,179,2.19,0.297,0.000,41.7,3.071,3.071,1001.800,1348.422,193.539
1626932176.6796746,2021-07-22 01:36:16.679678,38,184,2.22,0.273,0.000,42.1,3.039,3.039,986.200,1352.984,193.539
1626932179.7629232,2021-07-22 01:36:19.762927,39,188,2.21,0.289,0.000,41.5,3.083,3.083,989.500,1351.469,193.539
1626932182.8430254,2021-07-22 01:36:22.843029,40,194,2.21,0.289,0.000,41.6,3.080,3.080,996.100,1348.078,193.539
1626932185.9248335,2021-07-22 01:36:25.924837,41,198,2.16,0.281,0.000,41.5,3.082,3.082,995.500,1349.305,193.539
1626932188.949852,2021-07-22 01:36:28.949856,42,203,2.16,0.359,0.000,42.3,3.025,3.025,1004.000,1351.855,193.539
1626932191.9960356,2021-07-22 01:36:31.996039,43,208,2.16,0.297,0.000,42.0,3.046,3.046,989.100,1352.641,193.539
1626932195.0469759,2021-07-22 01:36:35.046980,44,213,2.20,0.297,0.000,42.0,3.051,3.051,992.800,1352.426,193.539
1626932198.1146169,2021-07-22 01:36:38.114620,45,218,2.13,0.320,0.000,41.7,3.067,3.067,994.200,1351.039,193.539
1626932201.2364058,2021-07-22 01:36:41.236410,46,223,2.25,0.305,0.000,41.0,3.122,3.122,992.700,1355.770,193.539
1626932204.3388135,2021-07-22 01:36:44.338817,47,228,2.14,0.383,0.000,41.3,3.102,3.102,989.200,1351.906,193.539
1626932207.391569,2021-07-22 01:36:47.391573,48,233,2.13,0.258,0.000,41.9,3.053,3.053,994.200,1349.781,193.539
1626932210.510206,2021-07-22 01:36:50.510210,49,237,2.16,0.344,0.000,41.0,3.118,3.118,990.500,1353.781,193.539
1626932213.5629194,2021-07-22 01:36:53.562923,50,242,2.20,0.320,0.000,41.9,3.053,3.053,1002.100,1353.242,193.539
1626932216.571497,2021-07-22 01:36:56.571500,51,247,2.13,0.320,0.000,42.5,3.008,3.008,1003.800,1350.398,193.539
1626932219.565116,2021-07-22 01:36:59.565119,52,252,2.06,0.352,0.000,42.8,2.993,2.993,995.800,1352.375,193.539
1626932222.6024742,2021-07-22 01:37:02.602478,53,257,2.15,0.312,0.000,42.1,3.037,3.037,983.700,1353.141,193.539
1626932225.5818589,2021-07-22 01:37:05.581863,54,262,2.18,0.258,0.000,43.0,2.979,2.979,1006.900,1350.676,193.539
1626932228.6054726,2021-07-22 01:37:08.605476,55,267,2.17,0.328,0.000,42.3,3.023,3.023,996.800,1353.512,193.539
1626932231.699896,2021-07-22 01:37:11.699900,56,272,2.12,0.305,0.000,41.4,3.094,3.094,996.600,1366.316,193.539
1626932234.7473927,2021-07-22 01:37:14.747397,57,277,2.13,0.312,0.000,42.0,3.047,3.047,996.600,1359.570,193.539
1626932237.8484855,2021-07-22 01:37:17.848488,58,282,2.15,0.297,0.000,41.3,3.101,3.101,990.900,1364.273,193.539
1626932240.9143114,2021-07-22 01:37:20.914315,59,287,2.15,0.391,0.000,41.8,3.066,3.066,998.100,1364.543,193.539
1626932243.804275,2021-07-22 01:37:23.804278,60,292,2.08,0.312,0.000,44.3,2.890,2.890,1002.800,1366.145,193.539
1626932246.819264,2021-07-22 01:37:26.819268,61,297,2.11,0.344,0.000,42.5,3.015,3.015,1003.300,1363.539,193.539
1626932249.8754907,2021-07-22 01:37:29.875495,62,301,2.02,0.312,0.000,41.9,3.056,3.056,990.100,1367.816,193.539
1626932252.9374733,2021-07-22 01:37:32.937477,63,306,2.15,0.289,0.000,41.8,3.062,3.062,986.600,1365.270,193.539
1626932256.0225146,2021-07-22 01:37:36.022518,64,311,2.11,0.336,0.000,41.5,3.085,3.085,998.700,1360.488,193.539
1626932259.116798,2021-07-22 01:37:39.116802,65,315,2.06,0.328,0.000,41.4,3.094,3.094,995.700,1359.547,193.539
1626932262.1181898,2021-07-22 01:37:42.118193,66,320,2.09,0.336,0.000,42.6,3.001,3.001,998.900,1364.578,193.539
1626932265.17289,2021-07-22 01:37:45.172894,67,324,2.12,0.336,0.000,41.9,3.055,3.055,998.800,1359.434,193.539
