time,datetime,step,global_step,loss,examples_sec,sec_batch,duration,cpu,mem,net_usage
1627236060.74357,2021-07-25 14:01:00.743577,0,0,1.58,1.1,120.378,120.378,0.000,562.688,63.385
1627236143.2558863,2021-07-25 14:02:23.255891,1,0,1.58,1.6,82.512,82.512,339.800,733.352,63.385
1627236217.0153944,2021-07-25 14:03:37.015400,2,1,1.58,1.7,73.759,73.759,372.500,755.055,63.385
1627236295.5971527,2021-07-25 14:04:55.597160,3,1,1.58,1.6,78.581,78.581,349.100,739.156,63.385
1627236369.881616,2021-07-25 14:06:09.881623,4,1,1.58,1.7,74.284,74.284,371.200,915.641,63.385
1627236451.853192,2021-07-25 14:07:31.853197,5,1,1.58,1.6,81.971,81.971,327.300,770.414,63.385
1627236533.2962322,2021-07-25 14:08:53.296236,6,1,1.58,1.6,81.443,81.443,334.700,840.137,63.385
1627236608.1618807,2021-07-25 14:10:08.161886,7,1,1.58,1.7,74.865,74.865,372.900,804.148,63.385
1627236683.453807,2021-07-25 14:11:23.453814,8,1,1.58,1.7,75.292,75.292,366.200,824.602,63.385
1627236752.9118104,2021-07-25 14:12:32.911815,9,1,1.58,1.8,69.458,69.458,394.400,834.996,63.385
1627236837.9860516,2021-07-25 14:13:57.986059,10,1,1.58,1.5,85.074,85.074,323.000,841.355,63.385
1627236960.045807,2021-07-25 14:16:00.045814,11,2,1.57,1.0,122.059,122.059,233.100,844.879,63.385
1627237084.7706795,2021-07-25 14:18:04.770688,12,3,1.57,1.0,124.724,124.724,227.800,849.562,63.385
1627237207.4327295,2021-07-25 14:20:07.432734,13,4,1.56,1.0,122.662,122.662,231.500,868.547,63.385
1627237339.5205455,2021-07-25 14:22:19.520551,14,5,1.56,1.0,132.088,132.088,214.800,879.266,63.385
1627237462.1549747,2021-07-25 14:24:22.154982,15,6,1.56,1.0,122.634,122.634,228.400,893.578,63.385
1627237584.8725853,2021-07-25 14:26:24.872591,16,7,1.55,1.0,122.717,122.717,228.900,898.375,63.385
1627237713.4154475,2021-07-25 14:28:33.415453,17,8,1.55,1.0,128.543,128.543,221.800,894.059,63.385
1627237838.9440794,2021-07-25 14:30:38.944086,18,9,1.54,1.0,125.528,125.528,221.100,893.656,63.385
1627237967.2382123,2021-07-25 14:32:47.238217,19,10,1.54,1.0,128.294,128.294,219.200,894.445,63.385
1627238093.6714208,2021-07-25 14:34:53.671428,20,11,1.53,1.0,126.433,126.433,225.800,904.523,63.385
1627238215.3888063,2021-07-25 14:36:55.388814,21,12,1.53,1.1,121.717,121.717,227.900,908.785,63.385
1627238339.4184523,2021-07-25 14:38:59.418458,22,13,1.52,1.0,124.029,124.029,224.500,904.762,63.385
1627238471.3938484,2021-07-25 14:41:11.393854,23,14,1.52,1.0,131.975,131.975,211.000,913.039,63.385
1627238598.7789996,2021-07-25 14:43:18.779007,24,15,1.52,1.0,127.385,127.385,225.200,918.691,63.385
1627238724.2283392,2021-07-25 14:45:24.228345,25,16,1.51,1.0,125.449,125.449,226.000,919.969,63.385
1627238853.6227489,2021-07-25 14:47:33.622756,26,17,1.51,1.0,129.394,129.394,220.000,920.383,63.385
1627238979.8646603,2021-07-25 14:49:39.864666,27,18,1.50,1.0,126.242,126.242,222.800,920.672,63.385
1627239105.3159266,2021-07-25 14:51:45.315934,28,19,1.50,1.0,125.451,125.451,225.300,919.586,63.385
1627239231.3947601,2021-07-25 14:53:51.394768,29,20,1.49,1.0,126.078,126.078,224.600,920.168,63.385
1627239360.2001638,2021-07-25 14:56:00.200170,30,21,1.49,1.0,128.805,128.805,219.400,922.410,63.385
1627239484.967932,2021-07-25 14:58:04.967937,31,22,1.49,1.0,124.767,124.767,228.700,919.875,63.385
1627239613.8743389,2021-07-25 15:00:13.874346,32,23,1.48,1.0,128.906,128.906,220.400,917.859,63.385
1627239741.1852877,2021-07-25 15:02:21.185293,33,24,1.48,1.0,127.311,127.311,223.800,918.766,63.385
1627239863.9884968,2021-07-25 15:04:23.988503,34,25,1.47,1.0,122.803,122.803,230.700,918.988,63.385
1627239991.760772,2021-07-25 15:06:31.760778,35,26,1.47,1.0,127.772,127.772,224.000,919.910,63.385
1627240118.509757,2021-07-25 15:08:38.509763,36,27,1.46,1.0,126.749,126.749,222.000,920.488,63.385
1627240247.3189828,2021-07-25 15:10:47.318990,37,28,1.46,1.0,128.809,128.809,222.200,917.930,63.385
1627240371.3683052,2021-07-25 15:12:51.368313,38,29,1.45,1.0,124.049,124.049,230.300,919.414,63.385
1627240493.9201806,2021-07-25 15:14:53.920188,39,30,1.45,1.0,122.551,122.551,231.200,918.273,63.385
1627240618.6825902,2021-07-25 15:16:58.682596,40,31,1.45,1.0,124.762,124.762,223.800,918.113,63.385
1627240744.6263676,2021-07-25 15:19:04.626375,41,32,1.44,1.0,125.943,125.943,226.100,922.609,63.385
1627240868.749016,2021-07-25 15:21:08.749022,42,33,1.44,1.0,124.122,124.122,229.800,917.852,63.385
1627240991.646788,2021-07-25 15:23:11.646794,43,34,1.43,1.0,122.897,122.897,224.400,921.930,63.385
1627241120.6533673,2021-07-25 15:25:20.653373,44,35,1.43,1.0,129.006,129.006,221.200,925.164,63.385
1627241241.5711162,2021-07-25 15:27:21.571122,45,36,1.42,1.1,120.917,120.917,233.500,921.527,63.385
