time,datetime,step,global_step,loss,accuracy,val_accuracy,examples_sec,sec_batch,duration,cpu,mem,net_usage
1627170887.1794732,2021-07-24 19:54:47.179478,0,0,1.58,0.133,0.000,0.8,155.682,155.682,0.000,598.176,544.921
1627171013.269478,2021-07-24 19:56:53.269482,1,8,1.58,0.062,0.000,1.0,126.090,126.090,239.800,672.164,545.119
1627171104.5836716,2021-07-24 19:58:24.583676,2,16,1.58,0.133,0.000,1.4,91.314,91.314,323.000,729.418,545.281
1627171191.0639026,2021-07-24 19:59:51.063907,3,20,1.57,0.141,0.000,1.5,86.480,86.480,336.900,751.859,545.398
1627171281.0719478,2021-07-24 20:01:21.071952,4,28,1.57,0.070,0.000,1.4,90.008,90.008,325.200,777.305,545.508
1627171378.263161,2021-07-24 20:02:58.263165,5,35,1.57,0.078,0.000,1.3,97.191,97.191,302.500,801.344,545.622
1627171471.7082443,2021-07-24 20:04:31.708248,6,44,1.57,0.102,0.000,1.4,93.445,93.445,312.500,819.184,545.747
1627171559.2280314,2021-07-24 20:05:59.228036,7,52,1.56,0.094,0.000,1.5,87.520,87.520,334.100,843.828,545.864
1627171648.49609,2021-07-24 20:07:28.496094,8,60,1.56,0.094,0.000,1.4,89.268,89.268,326.400,844.863,545.976
1627171732.9878345,2021-07-24 20:08:52.987838,9,68,1.56,0.078,0.000,1.5,84.492,84.492,345.000,852.070,546.090
1627171814.3060725,2021-07-24 20:10:14.306077,10,74,1.56,0.094,0.000,1.6,81.318,81.318,355.400,872.848,546.196
1627171915.095865,2021-07-24 20:11:55.095869,11,82,1.55,0.086,0.000,1.3,100.790,100.790,290.600,877.855,546.300
1627172021.2855425,2021-07-24 20:13:41.285546,12,91,1.55,0.062,0.000,1.2,106.189,106.189,278.000,888.781,546.428
1627172126.2309747,2021-07-24 20:15:26.230978,13,99,1.55,0.078,0.000,1.2,104.945,104.945,284.100,891.738,546.564
1627172214.7351446,2021-07-24 20:16:54.735149,14,108,1.55,0.133,0.000,1.4,88.504,88.504,331.600,888.754,546.698
1627172295.9217489,2021-07-24 20:18:15.921752,15,113,1.54,0.094,0.000,1.6,81.186,81.186,357.400,905.289,546.810
1627172390.7530005,2021-07-24 20:19:50.753005,16,121,1.54,0.062,0.000,1.3,94.831,94.831,308.400,911.453,546.913
1627172494.6400902,2021-07-24 20:21:34.640094,17,129,1.54,0.141,0.000,1.2,103.887,103.887,282.800,912.484,547.035
1627172588.7513828,2021-07-24 20:23:08.751387,18,138,1.54,0.094,0.000,1.4,94.111,94.111,313.900,920.414,547.167
1627172675.1541479,2021-07-24 20:24:35.154152,19,145,1.54,0.117,0.000,1.5,86.403,86.403,337.700,928.219,547.287
1627172762.4632375,2021-07-24 20:26:02.463241,20,151,1.53,0.102,0.000,1.5,87.309,87.309,334.400,931.777,547.396
1627172859.38033,2021-07-24 20:27:39.380334,21,159,1.53,0.133,0.000,1.3,96.917,96.917,303.900,935.273,547.508
1627172963.2939286,2021-07-24 20:29:23.293933,22,168,1.53,0.070,0.000,1.2,103.913,103.913,287.600,933.156,547.630
1627173060.0186598,2021-07-24 20:31:00.018681,23,176,1.53,0.109,0.000,1.3,96.725,96.725,303.400,930.703,547.763
1627173142.3331418,2021-07-24 20:32:22.333145,24,182,1.52,0.094,0.000,1.6,82.314,82.314,352.500,930.520,547.886
1627173229.3554413,2021-07-24 20:33:49.355446,25,190,1.52,0.070,0.000,1.5,87.022,87.022,333.700,938.797,547.991
1627173318.0653903,2021-07-24 20:35:18.065394,26,198,1.52,0.141,0.000,1.4,88.710,88.710,324.400,941.289,548.100
1627173407.7976842,2021-07-24 20:36:47.797688,27,205,1.52,0.148,0.000,1.4,89.732,89.732,325.500,939.012,548.212
1627173501.8964894,2021-07-24 20:38:21.896494,28,213,1.51,0.094,0.000,1.4,94.099,94.099,314.600,942.184,548.326
1627173591.8611178,2021-07-24 20:39:51.861122,29,222,1.51,0.094,0.000,1.4,89.964,89.964,326.600,938.031,548.447
1627173687.4826746,2021-07-24 20:41:27.482679,30,229,1.51,0.047,0.000,1.3,95.621,95.621,304.700,940.770,548.559
1627173768.7037525,2021-07-24 20:42:48.703756,31,237,1.51,0.078,0.000,1.6,81.221,81.221,358.600,950.328,548.683
1627173862.2227845,2021-07-24 20:44:22.222788,32,244,1.51,0.125,0.000,1.4,93.519,93.519,311.200,949.176,548.786
1627173958.8653605,2021-07-24 20:45:58.865364,33,252,1.50,0.070,0.000,1.3,96.642,96.642,303.500,952.117,548.906
1627174057.7094612,2021-07-24 20:47:37.709465,34,260,1.50,0.094,0.000,1.3,98.844,98.844,298.600,951.438,549.030
1627174145.2772636,2021-07-24 20:49:05.277267,35,268,1.50,0.078,0.000,1.5,87.568,87.568,331.700,950.371,549.156
1627174229.430609,2021-07-24 20:50:29.430614,36,275,1.50,0.086,0.000,1.5,84.153,84.153,346.500,951.723,549.267
1627174323.2292535,2021-07-24 20:52:03.229258,37,282,1.49,0.094,0.000,1.4,93.798,93.798,311.900,947.293,549.375
1627174433.7810426,2021-07-24 20:53:53.781047,38,290,1.49,0.109,0.000,1.2,110.552,110.552,269.600,946.797,549.494
1627174549.512985,2021-07-24 20:55:49.512989,39,299,1.49,0.109,0.000,1.1,115.732,115.732,259.400,949.344,549.635
1627174646.2376394,2021-07-24 20:57:26.237643,40,308,1.49,0.102,0.000,1.3,96.724,96.724,305.700,951.895,549.784
1627174749.1253757,2021-07-24 20:59:09.125380,41,315,1.48,0.141,0.000,1.2,102.888,102.888,288.100,954.070,549.907
1627174849.4762511,2021-07-24 21:00:49.476256,42,324,1.48,0.086,0.000,1.3,100.351,100.351,296.000,951.043,550.037
1627174939.4241621,2021-07-24 21:02:19.424166,43,332,1.48,0.109,0.000,1.4,89.948,89.948,326.300,952.051,550.164
1627175021.286224,2021-07-24 21:03:41.286228,44,338,1.48,0.141,0.000,1.6,81.862,81.862,352.600,952.227,550.278
1627175112.6555655,2021-07-24 21:05:12.655571,45,346,1.47,0.117,0.000,1.4,91.369,91.369,317.700,953.430,550.381
1627175213.7731059,2021-07-24 21:06:53.773110,46,354,1.47,0.109,0.000,1.3,101.117,101.117,292.000,953.746,550.499
1627175296.7814002,2021-07-24 21:08:16.781405,47,362,1.47,0.133,0.000,1.5,83.008,83.008,350.400,952.859,550.626
1627175386.4300597,2021-07-24 21:09:46.430064,48,368,1.47,0.102,0.000,1.4,89.648,89.648,328.000,952.219,550.732
1627175482.1608276,2021-07-24 21:11:22.160832,49,376,1.47,0.047,0.000,1.3,95.731,95.731,303.900,946.328,550.847
1627175575.931294,2021-07-24 21:12:55.931297,50,384,1.46,0.094,0.000,1.4,93.770,93.770,312.400,952.473,550.968
1627175662.3073442,2021-07-24 21:14:22.307349,51,392,1.46,0.102,0.000,1.5,86.376,86.376,339.500,946.621,551.087
1627175756.171942,2021-07-24 21:15:56.171946,52,399,1.46,0.078,0.000,1.4,93.864,93.864,314.000,949.824,551.197
1627175850.4712577,2021-07-24 21:17:30.471262,53,407,1.46,0.133,0.000,1.4,94.299,94.299,310.800,949.137,551.316
1627175945.0223713,2021-07-24 21:19:05.022376,54,415,1.45,0.148,0.000,1.4,94.551,94.551,313.000,953.484,551.437
1627176039.087788,2021-07-24 21:20:39.087792,55,422,1.45,0.133,0.000,1.4,94.065,94.065,314.300,951.609,551.558
1627176135.0513382,2021-07-24 21:22:15.051342,56,430,1.45,0.086,0.000,1.3,95.963,95.963,305.900,952.309,551.675
1627176237.8244126,2021-07-24 21:23:57.824416,57,438,1.45,0.055,0.000,1.2,102.773,102.773,288.700,953.703,551.798
1627176326.9336088,2021-07-24 21:25:26.933613,58,446,1.44,0.086,0.000,1.4,89.109,89.109,329.100,954.754,551.928
1627176411.4195096,2021-07-24 21:26:51.419514,59,453,1.44,0.062,0.000,1.5,84.486,84.486,345.200,956.402,552.041
1627176513.0174744,2021-07-24 21:28:33.017478,60,460,1.44,0.078,0.000,1.3,101.598,101.598,289.300,946.797,552.146
1627176598.8787937,2021-07-24 21:29:58.878798,61,469,1.44,0.070,0.000,1.5,85.861,85.861,341.200,956.656,552.276
1627176686.5102446,2021-07-24 21:31:26.510248,62,475,1.44,0.148,0.000,1.5,87.631,87.631,336.200,954.324,552.385
1627176784.5009632,2021-07-24 21:33:04.500967,63,483,1.43,0.062,0.000,1.3,97.991,97.991,302.500,953.000,552.496
1627176887.3171668,2021-07-24 21:34:47.317171,64,492,1.43,0.125,0.000,1.2,102.816,102.816,289.600,951.242,552.621
1627176977.7108226,2021-07-24 21:36:17.710827,65,501,1.43,0.156,0.000,1.4,90.393,90.393,325.400,950.379,552.752
1627177061.102022,2021-07-24 21:37:41.102025,66,507,1.43,0.133,0.000,1.5,83.391,83.391,349.100,951.141,552.866
1627177152.1277287,2021-07-24 21:39:12.127733,67,514,1.42,0.125,0.000,1.4,91.026,91.026,323.200,944.242,552.973
1627177252.9497423,2021-07-24 21:40:52.949746,68,522,1.42,0.133,0.000,1.3,100.822,100.822,292.500,950.914,553.091
1627177336.864037,2021-07-24 21:42:16.864041,69,531,1.42,0.109,0.000,1.5,83.914,83.914,348.700,956.480,553.220
1627177416.4694126,2021-07-24 21:43:36.469417,70,536,1.42,0.078,0.000,1.6,79.605,79.605,361.900,946.594,553.326
1627177512.7628736,2021-07-24 21:45:12.762877,71,543,1.41,0.133,0.000,1.3,96.293,96.293,304.600,947.383,553.426
1627177601.196394,2021-07-24 21:46:41.196398,72,551,1.41,0.086,0.000,1.4,88.433,88.433,330.200,950.168,553.549
1627177685.7057254,2021-07-24 21:48:05.705729,73,557,1.41,0.109,0.000,1.5,84.509,84.509,347.100,949.703,553.661
1627177766.6133406,2021-07-24 21:49:26.613345,74,565,1.41,0.172,0.000,1.6,80.907,80.907,356.900,953.418,553.769
1627177858.2243207,2021-07-24 21:50:58.224325,75,572,1.40,0.094,0.000,1.4,91.611,91.611,318.300,955.715,553.873
1627177950.6900215,2021-07-24 21:52:30.690026,76,580,1.40,0.094,0.000,1.4,92.466,92.466,315.800,953.207,553.988
1627178045.2900252,2021-07-24 21:54:05.290030,77,588,1.40,0.070,0.000,1.4,94.600,94.600,310.800,951.691,554.106
1627178136.7896655,2021-07-24 21:55:36.789669,78,597,1.40,0.109,0.000,1.4,91.499,91.499,318.600,953.715,554.224
1627178227.981622,2021-07-24 21:57:07.981625,79,603,1.39,0.086,0.000,1.4,91.192,91.192,324.300,955.234,554.340
1627178317.554978,2021-07-24 21:58:37.554981,80,611,1.39,0.109,0.000,1.4,89.573,89.573,325.600,955.312,554.456
1627178409.0423443,2021-07-24 22:00:09.042350,81,618,1.39,0.094,0.000,1.4,91.487,91.487,319.900,955.055,554.571
1627178501.6771667,2021-07-24 22:01:41.677171,82,626,1.39,0.125,0.000,1.4,92.635,92.635,317.100,953.387,554.687
1627178613.9151423,2021-07-24 22:03:33.915147,83,634,1.39,0.125,0.000,1.1,112.238,112.238,264.500,952.820,554.803
1627178717.201159,2021-07-24 22:05:17.201163,84,642,1.38,0.047,0.000,1.2,103.286,103.286,287.700,949.836,554.947
1627178800.867181,2021-07-24 22:06:40.867185,85,650,1.38,0.109,0.000,1.5,83.666,83.666,347.500,954.770,555.078
1627178885.9888008,2021-07-24 22:08:05.988805,86,656,1.38,0.125,0.000,1.5,85.121,85.121,341.500,949.480,555.184
1627178989.0722477,2021-07-24 22:09:49.072252,87,664,1.37,0.109,0.000,1.2,103.083,103.083,284.900,955.652,555.292
1627179118.6448781,2021-07-24 22:11:58.644882,88,673,1.37,0.102,0.000,1.0,129.572,129.572,230.500,950.355,555.423
1627179230.6301153,2021-07-24 22:13:50.630120,89,681,1.37,0.070,0.000,1.1,111.985,111.985,265.200,953.039,555.588
1627179318.1381836,2021-07-24 22:15:18.138187,90,689,1.37,0.094,0.000,1.5,87.508,87.508,334.900,949.293,555.731
1627179416.6804664,2021-07-24 22:16:56.680470,91,695,1.37,0.055,0.000,1.3,98.542,98.542,296.800,950.336,555.841
1627179520.9413347,2021-07-24 22:18:40.941340,92,703,1.36,0.102,0.000,1.2,104.261,104.261,283.700,951.027,555.967
1627179612.4541855,2021-07-24 22:20:12.454190,93,711,1.36,0.117,0.000,1.4,91.513,91.513,322.000,952.793,556.098
1627179704.411826,2021-07-24 22:21:44.411829,94,717,1.36,0.086,0.000,1.4,91.957,91.957,320.200,952.512,556.215
1627179805.2031724,2021-07-24 22:23:25.203177,95,725,1.36,0.094,0.000,1.3,100.791,100.791,292.500,952.965,556.332
1627179900.4322867,2021-07-24 22:25:00.432290,96,733,1.35,0.117,0.000,1.3,95.229,95.229,307.700,953.379,556.461
1627179989.3601017,2021-07-24 22:26:29.360107,97,740,1.35,0.117,0.000,1.4,88.928,88.928,329.400,952.559,556.580
1627180093.8783636,2021-07-24 22:28:13.878367,98,747,1.35,0.062,0.000,1.2,104.518,104.518,281.700,954.891,556.694
1627180199.7475095,2021-07-24 22:29:59.747513,99,756,1.35,0.102,0.000,1.2,105.869,105.869,277.800,953.035,556.826
1627180302.0441418,2021-07-24 22:31:42.044146,100,764,1.34,0.156,0.000,1.3,102.296,102.296,290.700,950.066,556.959
1627180398.9170704,2021-07-24 22:33:18.917076,101,772,1.34,0.078,0.000,1.3,96.873,96.873,305.300,955.285,557.091
1627180490.1420429,2021-07-24 22:34:50.142048,102,779,1.34,0.109,0.000,1.4,91.225,91.225,322.100,952.660,557.213
1627180578.687502,2021-07-24 22:36:18.687506,103,787,1.34,0.055,0.000,1.4,88.545,88.545,332.500,953.910,557.328
1627180682.6257522,2021-07-24 22:38:02.625757,104,795,1.33,0.117,0.000,1.2,103.938,103.938,286.000,963.090,557.442
1627180789.583159,2021-07-24 22:39:49.583163,105,803,1.33,0.164,0.000,1.2,106.957,106.957,275.600,957.051,557.575
1627180889.411297,2021-07-24 22:41:29.411301,106,811,1.33,0.102,0.000,1.3,99.828,99.828,297.100,952.609,557.711
1627180982.862109,2021-07-24 22:43:02.862113,107,819,1.33,0.094,0.000,1.4,93.451,93.451,313.900,957.992,557.838
1627181074.2180274,2021-07-24 22:44:34.218031,108,826,1.33,0.070,0.000,1.4,91.356,91.356,320.300,955.957,557.955
1627181162.8389566,2021-07-24 22:46:02.838961,109,833,1.32,0.125,0.000,1.4,88.621,88.621,329.100,952.703,558.072
1627181262.265622,2021-07-24 22:47:42.265626,110,841,1.32,0.109,0.000,1.3,99.426,99.426,295.900,950.504,558.184
1627181368.0964577,2021-07-24 22:49:28.096462,111,850,1.32,0.133,0.000,1.2,105.831,105.831,278.100,952.164,558.311
1627181474.8760233,2021-07-24 22:51:14.876029,112,859,1.32,0.086,0.000,1.2,106.779,106.779,280.000,955.691,558.445
1627181564.330465,2021-07-24 22:52:44.330469,113,865,1.31,0.125,0.000,1.4,89.454,89.454,326.200,955.836,558.583
